,song,debut,peak_date,peak_position,weeks_in_top
154,We Are Never Ever Getting Back Together (Taylor's Version),11.27.21,11.27.21,55,1
155,Gold Rush,12.26.20,12.26.20,40,1
156,Long Story Short,12.26.20,12.26.20,68,1
157,Cowboy Like Me,12.26.20,12.26.20,71,1
158,Tolerate It,12.26.20,12.26.20,45,1
159,Ivy,12.26.20,12.26.20,61,1
160,Evermore Featuring Bon Iver,12.26.20,12.26.20,57,1
161,Coney Island Featuring The National,12.26.20,12.26.20,63,1
162,Closure,12.26.20,12.26.20,82,1
163,Dorothea,12.26.20,12.26.20,67,1
164,Happiness,12.26.20,12.26.20,52,1
165,Marjorie,12.26.20,12.26.20,75,1
166,You Belong With Me (Taylor's Version),04.24.21,04.24.21,75,1
167,Fifteen (Taylor's Version),04.24.21,04.24.21,88,1
168,Fearless (Taylor's Version),04.24.21,04.24.21,71,1
169,Forever & Always (Taylor's Version),04.24.21,04.24.21,65,1
170,The Way I Loved You (Taylor's Version),04.24.21,04.24.21,94,1
171,Renegade,07.17.21,07.17.21,73,1
172,Wildest Dreams (Taylor's Version),10.02.21,10.02.21,37,1
173,Treacherous (Taylor's Version),11.27.21,11.27.21,54,1
174,Better Man (Taylor's Version) (From The Vault),11.27.21,11.27.21,51,1
175,I Almost Do (Taylor's Version),11.27.21,11.27.21,59,1
176,The Last Time (Taylor's Version) Featuring Gary Lightbody Of Snow Patrol,11.27.21,11.27.21,66,1
177,Holy Ground (Taylor's Version),11.27.21,11.27.21,76,1
178,The Very First Night (Taylor's Version) (From The Vault),11.27.21,11.27.21,61,1
179,Begin Again (Taylor's Version),11.27.21,11.27.21,77,1
180,The Lucky One (Taylor's Version),11.27.21,11.27.21,84,1
181,Sad Beautiful Tragic (Taylor's Version),11.27.21,11.27.21,85,1
182,Forever Winter (Taylor's Version) (From The Vault),11.27.21,11.27.21,79,1
183,The Moment I Knew (Taylor's Version),11.27.21,11.27.21,83,1
184,Starlight (Taylor's Version),11.27.21,11.27.21,90,1
185,Come Back...Be Here (Taylor's Version),11.27.21,11.27.21,87,1
186,This Love (Taylor's Version),05.21.22,05.21.22,50,1
187,Carolina,07.09.22,07.09.22,60,1
